archivo,real,predicho,n_ciclos
a0001,2,0,4
a0002,2,2,4
a0003,2,2,11
a0004,2,2,5
a0005,2,2,11
a0006,2,2,5
a0007,0,2,10
a0008,2,0,3
a0009,0,2,5
a0010,2,2,9
a0011,0,2,12
a0012,0,2,17
a0013,2,2,12
a0014,2,2,5
a0015,2,2,8
a0016,0,2,11
a0017,2,2,17
a0018,2,2,4
a0019,0,2,13
a0020,2,2,10
a0021,2,2,9
a0022,2,0,10
a0023,2,2,9
a0024,2,2,15
a0025,0,2,8
a0026,2,2,5
a0027,0,2,7
a0028,0,2,4
a0029,0,2,7
a0030,2,2,9
a0031,2,2,12
a0032,0,2,5
a0033,2,0,11
a0034,2,2,4
a0035,0,2,7
a0036,2,2,17
a0037,2,2,9
a0038,0,2,8
a0039,2,2,9
a0040,2,2,8
a0041,2,2,2
a0042,2,2,6
a0043,2,2,16
a0044,2,2,7
a0045,2,2,4
a0046,2,2,14
a0047,2,2,5
a0048,2,2,10
a0049,0,2,5
a0050,0,2,8
a0051,2,2,8
a0052,2,2,7
a0053,0,2,5
a0054,2,2,10
a0055,0,2,23
a0056,2,2,10
a0057,2,2,5
a0058,2,2,7
a0059,2,2,3
a0060,2,2,6
a0061,2,2,13
a0062,2,2,11
a0063,2,2,4
a0064,2,0,9
a0065,2,2,8
a0066,2,2,5
a0067,2,2,1
a0068,0,2,8
a0069,0,0,4
a0070,0,2,4
a0071,0,2,4
a0072,2,2,7
a0073,2,2,8
a0074,2,2,12
a0075,2,0,2
a0076,2,2,9
a0077,2,2,8
a0078,2,2,6
a0079,2,2,3
a0080,0,2,9
a0081,0,2,7
a0082,2,2,8
a0083,2,2,9
a0084,2,2,2
a0085,0,2,9
a0086,0,2,15
a0087,2,2,7
a0088,0,2,13
a0089,2,2,6
a0090,2,0,7
a0091,0,2,15
a0092,2,2,16
a0093,0,2,17
a0094,0,2,11
a0095,2,2,5
a0096,2,2,12
a0097,2,2,7
a0098,2,2,4
a0099,2,2,8
a0100,2,2,8
a0101,2,2,6
a0102,0,2,11
a0103,2,2,9
a0104,2,2,7
a0105,0,2,11
a0106,0,2,11
a0107,2,2,9
a0108,0,2,11
a0109,0,2,8
a0110,2,2,8
a0111,2,2,14
a0112,2,2,13
a0113,2,2,7
a0114,2,2,8
a0115,2,2,19
a0116,2,2,9
a0117,2,2,7
a0118,0,2,6
a0119,2,0,5
a0120,2,0,9
a0121,2,2,3
a0122,2,2,10
a0123,2,2,5
a0124,2,2,10
a0125,0,2,8
a0126,2,2,10
a0127,0,2,3
a0128,2,2,11
a0129,0,2,20
a0130,2,2,9
a0131,2,2,4
a0132,2,2,13
a0133,2,2,5
a0134,2,2,8
a0135,2,2,4
a0136,0,2,7
a0137,2,2,4
a0138,2,2,6
a0139,0,2,1
a0140,0,2,9
a0141,0,2,11
a0142,2,2,12
a0143,2,2,6
a0144,2,2,4
a0145,2,2,11
a0146,2,2,11
a0147,2,2,11
a0148,2,2,5
a0149,2,2,3
a0150,2,2,3
a0151,2,2,2
a0152,2,2,6
a0153,0,2,7
a0154,0,2,6
a0155,0,2,6
a0156,2,0,5
a0157,2,2,16
a0158,2,2,5
a0159,2,2,5
a0160,2,2,22
a0161,0,2,38
a0162,2,2,6
a0163,2,2,13
a0164,2,2,24
a0165,0,2,9
a0166,2,2,8
a0167,2,2,12
a0168,2,2,6
a0169,2,2,2
a0170,2,2,9
a0171,0,2,6
a0172,2,2,10
a0173,2,2,9
a0174,2,2,7
a0175,2,2,7
a0176,2,2,4
a0177,2,2,3
a0178,0,2,10
a0179,0,2,11
a0180,2,2,12
a0181,0,2,25
a0182,2,2,21
a0183,2,2,8
a0184,0,0,11
a0185,0,2,5
a0186,2,0,1
a0187,2,2,7
a0188,2,2,4
a0189,0,2,4
a0190,2,2,3
a0191,2,2,8
a0192,2,2,13
a0193,0,2,6
a0194,2,2,8
a0195,0,2,11
a0196,0,2,4
a0197,2,2,7
a0198,2,2,11
a0199,0,2,10
a0200,2,0,6
a0201,2,0,6
a0202,2,2,14
a0203,2,2,6
a0204,0,2,6
a0205,2,2,8
a0206,2,2,10
a0207,2,2,9
a0208,0,2,10
a0209,2,2,6
a0210,0,2,7
a0211,0,2,9
a0212,0,2,9
a0213,2,2,4
a0214,2,2,10
a0215,2,2,9
a0216,2,0,7
a0217,2,2,17
a0218,2,2,9
a0219,2,2,7
a0220,2,2,6
a0221,2,2,16
a0222,2,2,5
a0223,2,2,2
a0224,2,2,12
a0225,2,2,8
a0226,2,2,12
a0227,0,2,11
a0228,2,2,4
a0229,0,2,6
a0230,2,2,8
a0231,0,2,9
a0232,2,2,5
a0233,2,2,4
a0234,2,0,6
a0235,0,2,6
a0236,2,2,9
a0237,2,0,16
a0238,0,2,6
a0239,2,2,5
a0240,2,2,12
a0241,0,2,5
a0242,2,2,5
a0243,0,2,4
a0244,2,2,25
a0245,2,2,15
a0246,2,2,5
a0247,2,2,8
a0248,2,2,9
a0249,2,2,15
a0250,0,2,12
a0251,2,2,6
a0252,2,2,8
a0253,0,2,9
a0254,2,2,9
a0255,2,2,9
a0256,2,0,3
a0257,2,2,4
a0258,2,2,8
a0259,2,2,9
a0260,2,0,13
a0261,2,2,7
a0262,2,2,8
a0263,2,2,12
a0264,0,2,10
a0265,2,2,5
a0266,0,2,11
a0267,2,2,2
a0268,2,2,10
a0269,2,2,5
a0270,0,2,7
a0271,0,2,13
a0272,2,2,8
a0273,2,0,8
a0274,0,2,20
a0275,2,2,4
a0276,2,0,6
a0277,2,2,9
a0278,2,2,8
a0279,2,0,1
a0280,2,2,21
